county,county_std,total,value_used,centered_value,lag_centered_value,local_I,z_score,p_value,lisa_class,variable
Morgan,MORGAN,0,0,-11.842105263157896,-9.442105263157895,0.4614883327426344,1.3474038459711044,0.17785020261745724,Not significant,raw_total
Geneva,GENEVA,16,16,4.157894736842104,13.357894736842105,0.22923159591617412,1.8485313108353485,0.06452551915344257,Not significant,raw_total
Lee,LEE,59,59,47.1578947368421,5.557894736842103,1.081751975030583,1.2397659197298032,0.21506198705237775,Not significant,raw_total
Fayette,FAYETTE,0,0,-11.842105263157896,-4.242105263157895,0.20733533789886469,0.642223485670217,0.5207280860414348,Not significant,raw_total
Coffee,COFFEE,20,20,8.157894736842104,12.557894736842105,0.4228223215612746,1.7996189013821708,0.0719208344610778,Not significant,raw_total
Tuscaloosa,TUSCALOOSA,0,0,-11.842105263157896,-3.8421052631578956,0.18778510752626704,0.6050130829602404,0.5451703038315463,Not significant,raw_total
Cleburne,CLEBURNE,4,4,-7.842105263157896,3.7578947368421045,-0.12162987183737867,-0.5095778141917056,0.6103472701508647,Not significant,raw_total
Macon,MACON,5,5,-6.842105263157896,15.557894736842103,-0.43934283787028255,-2.215893660817848,0.02669878579471461,Low-High,raw_total
St. Clair,STCLAIR,32,32,20.157894736842103,5.157894736842104,0.4291218402368894,0.7971870938497737,0.4253423804249419,Not significant,raw_total
Chilton,CHILTON,2,2,-9.842105263157896,4.557894736842105,-0.18514639807012928,-0.618605395473882,0.536176346584787,Not significant,raw_total
Dale,DALE,19,19,7.157894736842104,12.757894736842104,0.3769010026638618,1.8918750382428875,0.05850763234353483,Not significant,raw_total
Cherokee,CHEROKEE,5,5,-6.842105263157896,-6.442105263157895,0.18192003841448776,0.9693080764448919,0.3323915008322882,Not significant,raw_total
Marengo,MARENGO,0,0,-11.842105263157896,-10.242105263157896,0.5005887934878297,1.5065200987593932,0.13193371154543762,Not significant,raw_total
Calhoun,CALHOUN,14,14,2.1578947368421044,7.157894736842104,0.06374975705123075,0.9849890216604765,0.3246294635535961,Not significant,raw_total
Blount,BLOUNT,7,2.0794415416798357,0.3415012356599916,-0.1622334667917718,-0.028905115232527253,-0.22885635498381496,0.8189805639711032,Not significant,log1p_total
Marshall,MARSHALL,1,0.6931471805599453,-1.0447931254598988,-0.7229055429730789,0.3940522739051031,1.226213751988003,0.22011824754214412,Not significant,log1p_total
Cullman,CULLMAN,3,1.3862943611198906,-0.3516459448999536,-0.556323718386058,0.10206460673849758,0.9346843221588967,0.34995100884752095,Not significant,log1p_total
Mobile,MOBILE,0,0,-1.7379403060198442,-0.4015185865298825,0.3640679816220672,0.7302827236748418,0.4652173862274981,Not significant,log1p_total
Colbert,COLBERT,0,0,-1.7379403060198442,-1.322051997683877,1.1987410260530234,2.249534957174348,0.024478481353545804,Low-Low,log1p_total
Pike,PIKE,13,2.639057329615259,0.9011170235954147,0.9270748187493594,0.4358509089823818,1.5015908944861167,0.133202796365666,Not significant,log1p_total
